OrdFY25	POAexemptCode	Description
87115	V32.6XXS	"Passenger in three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
87117	V32.7XXA	"Person on outside of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
87118	V32.7XXD	"Person on outside of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
87119	V32.7XXS	"Person on outside of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
87121	V32.9XXA	"Unspecified occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, initial encounter"
87122	V32.9XXD	"Unspecified occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, subsequent encounter"
87123	V32.9XXS	"Unspecified occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle in traffic accident, sequela"
87126	V33.0XXA	"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
87127	V33.0XXD	"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
87128	V33.0XXS	"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
87130	V33.1XXA	"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
87131	V33.1XXD	"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
87132	V33.1XXS	"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
87134	V33.2XXA	"Person on outside of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
87135	V33.2XXD	"Person on outside of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
87136	V33.2XXS	"Person on outside of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
87138	V33.3XXA	"Unspecified occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, initial encounter"
87139	V33.3XXD	"Unspecified occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, subsequent encounter"
87140	V33.3XXS	"Unspecified occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in nontraffic accident, sequela"
87142	V33.4XXA	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with car, pick-up truck or van, initial encounter"
87143	V33.4XXD	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with car, pick-up truck or van, subsequent encounter"
87144	V33.4XXS	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with car, pick-up truck or van, sequela"
87146	V33.5XXA	"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
87147	V33.5XXD	"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
87148	V33.5XXS	"Driver of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela"
87150	V33.6XXA	"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
87151	V33.6XXD	"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
87152	V33.6XXS	"Passenger in three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela"
87154	V33.7XXA	"Person on outside of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
87155	V33.7XXD	"Person on outside of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
87156	V33.7XXS	"Person on outside of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela"
87158	V33.9XXA	"Unspecified occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, initial encounter"
87159	V33.9XXD	"Unspecified occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, subsequent encounter"
87160	V33.9XXS	"Unspecified occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van in traffic accident, sequela"
87163	V34.0XXA	"Driver of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
87164	V34.0XXD	"Driver of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
87165	V34.0XXS	"Driver of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
87167	V34.1XXA	"Passenger in three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
87168	V34.1XXD	"Passenger in three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
87169	V34.1XXS	"Passenger in three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
87171	V34.2XXA	"Person on outside of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
87172	V34.2XXD	"Person on outside of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
87173	V34.2XXS	"Person on outside of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
87175	V34.3XXA	"Unspecified occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, initial encounter"
87176	V34.3XXD	"Unspecified occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, subsequent encounter"
87177	V34.3XXS	"Unspecified occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in nontraffic accident, sequela"
87179	V34.4XXA	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus, initial encounter"
87180	V34.4XXD	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus, subsequent encounter"
87181	V34.4XXS	"Person boarding or alighting a three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus, sequela"
87183	V34.5XXA	"Driver of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
87184	V34.5XXD	"Driver of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
87185	V34.5XXS	"Driver of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
87187	V34.6XXA	"Passenger in three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
87188	V34.6XXD	"Passenger in three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
87189	V34.6XXS	"Passenger in three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
87191	V34.7XXA	"Person on outside of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
87192	V34.7XXD	"Person on outside of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident, subsequent encounter"
87193	V34.7XXS	"Person on outside of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident, sequela"
87195	V34.9XXA	"Unspecified occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus in traffic accident, initial encounter"
